# wavelength (nm), relative flux
1.000000000000000000e+00,9.999999999998583355e-01
1.099909990999099918e+00,9.999999999998283595e-01
1.199819981998199836e+00,9.999999999997951639e-01
1.299729972997299754e+00,9.999999999997595257e-01
1.399639963996399672e+00,9.999999999997207789e-01
1.499549954995499590e+00,9.999999999996790345e-01
1.599459945994599508e+00,9.999999999996341815e-01
1.699369936993699426e+00,9.999999999995863309e-01
1.799279927992799344e+00,9.999999999995357047e-01
1.899189918991899262e+00,9.999999999994819699e-01
1.999099909990999180e+00,9.999999999994249045e-01
2.099009900990099098e+00,9.999999999993650635e-01
2.198919891989199016e+00,9.999999999993021138e-01
2.298829882988298934e+00,9.999999999992362776e-01
2.398739873987398852e+00,9.999999999991672217e-01
2.498649864986498770e+00,9.999999999990949462e-01
2.598559855985598688e+00,9.999999999990197841e-01
2.698469846984698606e+00,9.999999999989414023e-01
2.798379837983798524e+00,9.999999999988596899e-01
2.898289828982898442e+00,9.999999999987749799e-01
2.998199819981998360e+00,9.999999999986871613e-01
3.098109810981097834e+00,9.999999999985959009e-01
3.198019801980197752e+00,9.999999999985017540e-01
3.297929792979297670e+00,9.999999999984040544e-01
3.397839783978397588e+00,9.999999999983036902e-01
3.497749774977497506e+00,9.999999999981996623e-01
3.597659765976597424e+00,9.999999999980920817e-01
3.697569756975697342e+00,9.999999999979813925e-01
3.797479747974797260e+00,9.999999999978678167e-01
3.897389738973897177e+00,9.999999999977506882e-01
3.997299729972997095e+00,9.999999999976304510e-01
4.097209720972097458e+00,9.999999999975066611e-01
4.197119711971197376e+00,9.999999999973797626e-01
4.297029702970297294e+00,9.999999999972492004e-01
4.396939693969397212e+00,9.999999999971154185e-01
4.496849684968497129e+00,9.999999999969781950e-01
4.596759675967597047e+00,9.999999999968377518e-01
4.696669666966696965e+00,9.999999999966933117e-01
4.796579657965796883e+00,9.999999999965456521e-01
4.896489648964896801e+00,9.999999999963946617e-01
4.996399639963996719e+00,9.999999999962403407e-01
5.096309630963095749e+00,9.999999999960825781e-01
5.196219621962195667e+00,9.999999999959212627e-01
5.296129612961295585e+00,9.999999999957562835e-01
5.396039603960395503e+00,9.999999999955878627e-01
5.495949594959495421e+00,9.999999999954157781e-01
5.595859585958595339e+00,9.999999999952403629e-01
5.695769576957695257e+00,9.999999999950613949e-01
5.795679567956795175e+00,9.999999999948784302e-01
5.895589558955895093e+00,9.999999999946921347e-01
5.995499549954995011e+00,9.999999999945022866e-01
6.095409540954094929e+00,9.999999999943088858e-01
6.195319531953194847e+00,9.999999999941113771e-01
6.295229522952294765e+00,9.999999999939102047e-01
6.395139513951394683e+00,9.999999999937055906e-01
6.495049504950494601e+00,9.999999999934976458e-01
6.594959495949594519e+00,9.999999999932853711e-01
6.694869486948694437e+00,9.999999999930692107e-01
6.794779477947794355e+00,9.999999999928498307e-01
6.894689468946894273e+00,9.999999999926264538e-01
6.994599459945994191e+00,9.999999999923993022e-01
7.094509450945094109e+00,9.999999999921682647e-01
7.194419441944194027e+00,9.999999999919335636e-01
7.294329432943293945e+00,9.999999999916947546e-01
7.394239423942393863e+00,9.999999999914522819e-01
7.494149414941493781e+00,9.999999999912057014e-01
7.594059405940593699e+00,9.999999999909555681e-01
7.693969396939693617e+00,9.999999999907013271e-01
7.793879387938793535e+00,9.999999999904429782e-01
7.893789378937893453e+00,9.999999999901810765e-01
7.993699369936993371e+00,9.999999999899146230e-01
8.093609360936092401e+00,9.999999999896443947e-01
8.193519351935194095e+00,9.999999999893703917e-01
8.293429342934292237e+00,9.999999999890921698e-01
8.393339333933393931e+00,9.999999999888099511e-01
8.493249324932492073e+00,9.999999999885235136e-01
8.593159315931593767e+00,9.999999999882331903e-01
8.693069306930691909e+00,9.999999999879386481e-01
8.792979297929793603e+00,9.999999999876403312e-01
8.892889288928891744e+00,9.999999999873375733e-01
8.992799279927993439e+00,9.999999999870305967e-01
9.092709270927091580e+00,9.999999999867197342e-01
9.192619261926191498e+00,9.999999999864043199e-01
9.292529252925291416e+00,9.999999999860847977e-01
9.392439243924391334e+00,9.999999999857610566e-01
9.492349234923491252e+00,9.999999999854330968e-01
9.592259225922591170e+00,9.999999999851006960e-01
9.692169216921691088e+00,9.999999999847642984e-01
9.792079207920791006e+00,9.999999999844232379e-01
9.891989198919890924e+00,9.999999999840778475e-01
9.991899189918990842e+00,9.999999999837284603e-01
1.009180918091809076e+01,9.999999999833742992e-01
1.019171917191719068e+01,9.999999999830160302e-01
1.029162916291629060e+01,9.999999999826533204e-01
1.039153915391539051e+01,9.999999999822861696e-01
1.049144914491449043e+01,9.999999999819141339e-01
1.059135913591359035e+01,9.999999999815382123e-01
1.069126912691269027e+01,9.999999999811572948e-01
1.079117911791179019e+01,9.999999999807722695e-01
1.089108910891089010e+01,9.999999999803824702e-01
1.099099909990999002e+01,9.999999999799880079e-01
1.109090909090908994e+01,9.999999999795894379e-01
1.119081908190818986e+01,9.999999999791855387e-01
1.129072907290728978e+01,9.999999999787774208e-01
1.139063906390638969e+01,9.999999999783648619e-01
1.149054905490548961e+01,9.999999999779473070e-01
1.159045904590458953e+01,9.999999999775253112e-01
1.169036903690368945e+01,9.999999999770983194e-01
1.179027902790278937e+01,9.999999999766663317e-01
1.189018901890188928e+01,9.999999999762304581e-01
1.199009900990098920e+01,9.999999999757890334e-01
1.209000900090008912e+01,9.999999999753428348e-01
1.218991899189918904e+01,9.999999999748920843e-01
1.228982898289828896e+01,9.999999999744363377e-01
1.238973897389738887e+01,9.999999999739758172e-01
1.248964896489648879e+01,9.999999999735103007e-01
1.258955895589558871e+01,9.999999999730402322e-01
1.268946894689468863e+01,9.999999999725647237e-01
