# wavelength (nm), relative flux
1.000000000000000000e+00,9.999999999999277245e-01
1.099909990999099918e+00,9.999999999999119593e-01
1.199819981998199836e+00,9.999999999998953060e-01
1.299729972997299754e+00,9.999999999998766542e-01
1.399639963996399672e+00,9.999999999998566702e-01
1.499549954995499590e+00,9.999999999998351319e-01
1.599459945994599508e+00,9.999999999998119282e-01
1.699369936993699426e+00,9.999999999997871702e-01
1.799279927992799344e+00,9.999999999997610800e-01
1.899189918991899262e+00,9.999999999997329914e-01
1.999099909990999180e+00,9.999999999997039035e-01
2.099009900990099098e+00,9.999999999996725952e-01
2.198919891989199016e+00,9.999999999996400657e-01
2.298829882988298934e+00,9.999999999996056488e-01
2.398739873987398852e+00,9.999999999995696776e-01
2.498649864986498770e+00,9.999999999995322630e-01
2.598559855985598688e+00,9.999999999994928501e-01
2.698469846984698606e+00,9.999999999994517719e-01
2.798379837983798524e+00,9.999999999994093614e-01
2.898289828982898442e+00,9.999999999993649524e-01
2.998199819981998360e+00,9.999999999993191002e-01
3.098109810981097834e+00,9.999999999992710276e-01
3.198019801980197752e+00,9.999999999992216226e-01
3.297929792979297670e+00,9.999999999991699973e-01
3.397839783978397588e+00,9.999999999991169286e-01
3.497749774977497506e+00,9.999999999990618615e-01
3.597659765976597424e+00,9.999999999990051291e-01
3.697569756975697342e+00,9.999999999989467314e-01
3.797479747974797260e+00,9.999999999988864463e-01
3.897389738973897177e+00,9.999999999988241628e-01
3.997299729972997095e+00,9.999999999987601029e-01
4.097209720972097458e+00,9.999999999986942667e-01
4.197119711971197376e+00,9.999999999986259880e-01
4.297029702970297294e+00,9.999999999985565990e-01
4.396939693969397212e+00,9.999999999984846566e-01
4.496849684968497129e+00,9.999999999984109378e-01
4.596759675967597047e+00,9.999999999983353316e-01
4.696669666966696965e+00,9.999999999982573939e-01
4.796579657965796883e+00,9.999999999981776799e-01
4.896489648964896801e+00,9.999999999980958565e-01
4.996399639963996719e+00,9.999999999980122567e-01
5.096309630963095749e+00,9.999999999979264365e-01
5.196219621962195667e+00,9.999999999978380627e-01
5.296129612961295585e+00,9.999999999977481346e-01
5.396039603960395503e+00,9.999999999976557641e-01
5.495949594959495421e+00,9.999999999975611731e-01
5.595859585958595339e+00,9.999999999974646947e-01
5.695769576957695257e+00,9.999999999973655518e-01
5.795679567956795175e+00,9.999999999972641884e-01
5.895589558955895093e+00,9.999999999971610487e-01
5.995499549954995011e+00,9.999999999970551334e-01
6.095409540954094929e+00,9.999999999969469977e-01
6.195319531953194847e+00,9.999999999968365305e-01
6.295229522952294765e+00,9.999999999967232878e-01
6.395139513951394683e+00,9.999999999966080466e-01
6.495049504950494601e+00,9.999999999964900299e-01
6.594959495949594519e+00,9.999999999963699038e-01
6.694869486948694437e+00,9.999999999962466690e-01
6.794779477947794355e+00,9.999999999961207697e-01
6.894689468946894273e+00,9.999999999959927610e-01
6.994599459945994191e+00,9.999999999958618657e-01
7.094509450945094109e+00,9.999999999957278618e-01
7.194419441944194027e+00,9.999999999955915264e-01
7.294329432943293945e+00,9.999999999954520824e-01
7.394239423942393863e+00,9.999999999953101959e-01
7.494149414941493781e+00,9.999999999951648677e-01
7.594059405940593699e+00,9.999999999950166529e-01
7.693969396939693617e+00,9.999999999948656626e-01
7.793879387938793535e+00,9.999999999947111196e-01
7.893789378937893453e+00,9.999999999945539120e-01
7.993699369936993371e+00,9.999999999943924855e-01
8.093609360936092401e+00,9.999999999942283946e-01
8.193519351935194095e+00,9.999999999940610840e-01
8.293429342934292237e+00,9.999999999938901096e-01
8.393339333933393931e+00,9.999999999937155826e-01
8.493249324932492073e+00,9.999999999935370587e-01
8.593159315931593767e+00,9.999999999933553152e-01
8.693069306930691909e+00,9.999999999931691308e-01
8.792979297929793603e+00,9.999999999929792827e-01
8.892889288928891744e+00,9.999999999927852157e-01
8.992799279927993439e+00,9.999999999925870409e-01
9.092709270927091580e+00,9.999999999923845362e-01
9.192619261926191498e+00,9.999999999921772575e-01
9.292529252925291416e+00,9.999999999919657601e-01
9.392439243924391334e+00,9.999999999917493776e-01
9.492349234923491252e+00,9.999999999915283322e-01
9.592259225922591170e+00,9.999999999913017357e-01
9.692169216921691088e+00,9.999999999910699211e-01
9.792079207920791006e+00,9.999999999908326664e-01
9.891989198919890924e+00,9.999999999905896386e-01
9.991899189918990842e+00,9.999999999903407266e-01
1.009180918091809076e+01,9.999999999900859304e-01
1.019171917191719068e+01,9.999999999898241398e-01
1.029162916291629060e+01,9.999999999895556879e-01
1.039153915391539051e+01,9.999999999892803526e-01
1.049144914491449043e+01,9.999999999889976898e-01
1.059135913591359035e+01,9.999999999887072555e-01
1.069126912691269027e+01,9.999999999884084945e-01
