data from a portion of https://physics.nist.gov/PhysRefData/ASD/lines_form.html
wavelength (nm), A_ki (s^{-1})
399.637, 5.91e6
422.7999, 7.85e6
559.3302, 9.26e7
704.206, 5.78e7
