data from a portion of https://physics.nist.gov/PhysRefData/ASD/lines_form.html
wavelength (nm), A_ki (s^{-1})
95.4825, 5.98e8
685.6030, 4.87e7
703.7469, 4.23e7
731.1019, 4.50e7
