data from a portion of https://physics.nist.gov/PhysRefData/ASD/lines_form.html
wavelength (nm), A_ki (s^{-1})
293.65, 2.30e8
448.113, 2.33e8
634.6962, 2.05e7
789.6368, 7.86e7

