data from a portion of https://physics.nist.gov/PhysRefData/ASD/lines_form.html
wavelength (nm), A_ki (s^{-1})
130.2168, 3.41e8
436.825, 7.58e5
604.644, 1.75e6
645.444, 2.75e6
