data from a portion of https://physics.nist.gov/PhysRefData/ASD/lines_form.html
wavelength (nm), A_ki (s^{-1})
76.3657, 9.60e9
195.82e9, 1.57e7
281.7577, 7.46e6
386.0608, 4.0e7
