data from a portion of https://physics.nist.gov/PhysRefData/ASD/lines_form.html
wavelength (nm), A_ki (s^{-1})
242.7775, 2.5e7
396.083, 2.7e8
542.323, 1.8e7
609.469, 5.3e7
