# wavelength (nm), relative flux
1.000000000000000000e+00,9.999999999997184474e-01
1.099909990999099918e+00,9.998999899986585893e-01
1.199819981998199836e+00,9.997999799975931801e-01
1.299729972997299754e+00,9.996999699965213315e-01
1.399639963996399672e+00,9.995999599954440429e-01
1.499549954995499590e+00,9.994999499943603150e-01
1.599459945994599508e+00,9.993999399932708139e-01
1.699369936993699426e+00,9.992999299921749845e-01
1.799279927992799344e+00,9.991999199910736040e-01
1.899189918991899262e+00,9.990999099899655622e-01
1.999099909990999180e+00,9.989998999888513032e-01
2.099009900990099098e+00,9.988998899877312709e-01
2.198919891989199016e+00,9.987998799866046884e-01
2.298829882988298934e+00,9.986998699854718886e-01
2.398739873987398852e+00,9.985998599843332046e-01
2.498649864986498770e+00,9.984998499831880814e-01
2.598559855985598688e+00,9.983998399820358527e-01
2.698469846984698606e+00,9.982998299808778508e-01
2.798379837983798524e+00,9.981998199797134097e-01
2.898289828982898442e+00,9.980998099785424182e-01
2.998199819981998360e+00,9.979997999773645434e-01
3.098109810981097834e+00,9.978997899761805623e-01
3.198019801980197752e+00,9.977997799749898089e-01
3.297929792979297670e+00,9.976997699737918390e-01
3.397839783978397588e+00,9.975997599725878739e-01
3.497749774977497506e+00,9.974997499713766924e-01
3.597659765976597424e+00,9.973997399701589606e-01
3.697569756975697342e+00,9.972997299689343453e-01
3.797479747974797260e+00,9.971997199677031798e-01
3.897389738973897177e+00,9.970997099664646868e-01
3.997299729972997095e+00,9.969996999652195324e-01
4.097209720972097458e+00,9.968996899639673837e-01
4.197119711971197376e+00,9.967996799627077964e-01
4.297029702970297294e+00,9.966996699614417698e-01
4.396939693969397212e+00,9.965996599601681938e-01
4.496849684968497129e+00,9.964996499588877343e-01
4.596759675967597047e+00,9.963996399576001695e-01
4.696669666966696965e+00,9.962996299563049440e-01
4.796579657965796883e+00,9.961996199550028352e-01
4.896489648964896801e+00,9.960996099536928439e-01
4.996399639963996719e+00,9.959995999523758581e-01
5.096309630963095749e+00,9.958995899510517669e-01
5.196219621962195667e+00,9.957995799497196820e-01
5.296129612961295585e+00,9.956995699483803808e-01
5.396039603960395503e+00,9.955995599470333079e-01
5.495949594959495421e+00,9.954995499456787966e-01
5.595859585958595339e+00,9.953995399443167358e-01
5.695769576957695257e+00,9.952995299429464593e-01
5.795679567956795175e+00,9.951995199415692994e-01
5.895589558955895093e+00,9.950995099401838129e-01
5.995499549954995011e+00,9.949994999387905548e-01
6.095409540954094929e+00,9.948994899373891920e-01
6.195319531953194847e+00,9.947994799359799467e-01
6.295229522952294765e+00,9.946994699345628188e-01
6.395139513951394683e+00,9.945994599331375863e-01
6.495049504950494601e+00,9.944994499317049153e-01
6.594959495949594519e+00,9.943994399302633624e-01
6.694869486948694437e+00,9.942994299288133719e-01
6.794779477947794355e+00,9.941994199273558319e-01
6.894689468946894273e+00,9.940994099258901873e-01
6.994599459945994191e+00,9.939993999244153278e-01
7.094509450945094109e+00,9.938993899229325857e-01
7.194419441944194027e+00,9.937993799214412949e-01
7.294329432943293945e+00,9.936993699199416774e-01
7.394239423942393863e+00,9.935993599184334002e-01
7.494149414941493781e+00,9.934993499169164632e-01
7.594059405940593699e+00,9.933993399153909776e-01
7.693969396939693617e+00,9.932993299138567211e-01
7.793879387938793535e+00,9.931993199123138050e-01
7.893789378937893453e+00,9.930993099107616739e-01
7.993699369936993371e+00,9.929992999092012163e-01
8.093609360936092401e+00,9.928992899076316547e-01
8.193519351935194095e+00,9.927992799060529894e-01
8.293429342934292237e+00,9.926992699044653312e-01
8.393339333933393931e+00,9.925992599028686802e-01
8.493249324932492073e+00,9.924992499012625924e-01
8.593159315931593767e+00,9.923992398996471787e-01
8.693069306930691909e+00,9.922992298980228831e-01
8.792979297929793603e+00,9.921992198963893728e-01
8.892889288928891744e+00,9.920992098947460924e-01
8.992799279927993439e+00,9.919991998930935972e-01
9.092709270927091580e+00,9.918991898914311101e-01
9.192619261926191498e+00,9.917991798897597411e-01
9.292529252925291416e+00,9.916991698880782691e-01
9.392439243924391334e+00,9.915991598863870271e-01
9.492349234923491252e+00,9.914991498846865703e-01
9.592259225922591170e+00,9.913991398829757884e-01
9.692169216921691088e+00,9.912991298812554586e-01
9.792079207920791006e+00,9.911991198795246927e-01
9.891989198919890924e+00,9.910991098777842678e-01
9.991899189918990842e+00,9.909990998760340730e-01
1.009180918091809076e+01,9.908990898742733311e-01
1.019171917191719068e+01,9.907990798725019310e-01
1.029162916291629060e+01,9.906990698707210941e-01
1.039153915391539051e+01,9.905990598689295989e-01
1.049144914491449043e+01,9.904990498671274457e-01
1.059135913591359035e+01,9.903990398653151894e-01
1.069126912691269027e+01,9.902990298634924971e-01
1.079117911791179019e+01,9.901990198616588135e-01
1.089108910891089010e+01,9.900990098598146938e-01
1.099099909990999002e+01,9.899989998579593609e-01
1.109090909090908994e+01,9.898989898560939249e-01
1.119081908190818986e+01,9.897989798542171647e-01
1.129072907290728978e+01,9.896989698523295242e-01
1.139063906390638969e+01,9.895989598504308926e-01
1.149054905490548961e+01,9.894989498485211588e-01
1.159045904590458953e+01,9.893989398465999896e-01
1.169036903690368945e+01,9.892989298446677182e-01
1.179027902790278937e+01,9.891989198427241226e-01
1.189018901890188928e+01,9.890989098407695357e-01
1.199009900990098920e+01,9.889988998388031805e-01
1.209000900090008912e+01,9.888988898368249458e-01
1.218991899189918904e+01,9.887988798348352759e-01
1.228982898289828896e+01,9.886988698328343927e-01
1.238973897389738887e+01,9.885988598308210751e-01
1.248964896489648879e+01,9.884988498287964331e-01
1.258955895589558871e+01,9.883988398267593567e-01
1.268946894689468863e+01,9.882988298247105119e-01
1.278937893789378855e+01,9.881988198226494546e-01
1.288928892889288846e+01,9.880988098205764070e-01
1.298919891989198838e+01,9.879987998184907028e-01
1.308910891089108830e+01,9.878987898163930081e-01
1.318901890189018822e+01,9.877987798142831011e-01
1.328892889288928814e+01,9.876987698121603154e-01
1.338883888388838805e+01,9.875987598100247622e-01
1.348874887488748797e+01,9.874987498078769965e-01
1.358865886588658789e+01,9.873987398057162412e-01
1.368856885688568781e+01,9.872987298035426074e-01
1.378847884788478773e+01,9.871987198013563169e-01
1.388838883888388764e+01,9.870987097991568149e-01
1.398829882988298756e+01,9.869986997969441012e-01
1.408820882088208748e+01,9.868986897947181758e-01
1.418811881188118740e+01,9.867986797924791498e-01
1.428802880288028732e+01,9.866986697902265790e-01
1.438793879387938723e+01,9.865986597879605746e-01
1.448784878487848715e+01,9.864986497856811365e-01
1.458775877587758707e+01,9.863986397833878206e-01
1.468766876687668699e+01,9.862986297810809599e-01
1.478757875787578691e+01,9.861986197787604436e-01
1.488748874887488682e+01,9.860986097764257163e-01
1.498739873987398674e+01,9.859985997740766672e-01
