# wavelength (nm), relative flux
1.000000000000000000e+00,9.999999999997881694e-01
1.099909990999099918e+00,9.999999999997434275e-01
1.199819981998199836e+00,9.999999999996940225e-01
1.299729972997299754e+00,9.999999999996401767e-01
1.399639963996399672e+00,9.999999999995822231e-01
1.499549954995499590e+00,9.999999999995196065e-01
1.599459945994599508e+00,9.999999999994524380e-01
1.699369936993699426e+00,9.999999999993809396e-01
1.799279927992799344e+00,9.999999999993046673e-01
1.899189918991899262e+00,9.999999999992239541e-01
1.999099909990999180e+00,9.999999999991384669e-01
2.099009900990099098e+00,9.999999999990485389e-01
2.198919891989199016e+00,9.999999999989540589e-01
2.298829882988298934e+00,9.999999999988545829e-01
2.398739873987398852e+00,9.999999999987508881e-01
2.498649864986498770e+00,9.999999999986420862e-01
2.598559855985598688e+00,9.999999999985286214e-01
2.698469846984698606e+00,9.999999999984104937e-01
2.798379837983798524e+00,9.999999999982873700e-01
2.898289828982898442e+00,9.999999999981599164e-01
2.998199819981998360e+00,9.999999999980271337e-01
3.098109810981097834e+00,9.999999999978896881e-01
3.198019801980197752e+00,9.999999999977472465e-01
3.297929792979297670e+00,9.999999999975996978e-01
3.397839783978397588e+00,9.999999999974475973e-01
3.497749774977497506e+00,9.999999999972903897e-01
3.597659765976597424e+00,9.999999999971278530e-01
3.697569756975697342e+00,9.999999999969607645e-01
3.797479747974797260e+00,9.999999999967885689e-01
3.897389738973897177e+00,9.999999999966110442e-01
3.997299729972997095e+00,9.999999999964288566e-01
4.097209720972097458e+00,9.999999999962410069e-01
4.197119711971197376e+00,9.999999999960482722e-01
4.297029702970297294e+00,9.999999999958500974e-01
4.396939693969397212e+00,9.999999999956469265e-01
4.496849684968497129e+00,9.999999999954385377e-01
4.596759675967597047e+00,9.999999999952248197e-01
4.696669666966696965e+00,9.999999999950055507e-01
4.796579657965796883e+00,9.999999999947812857e-01
4.896489648964896801e+00,9.999999999945513585e-01
4.996399639963996719e+00,9.999999999943163242e-01
5.096309630963095749e+00,9.999999999940760720e-01
5.196219621962195667e+00,9.999999999938298245e-01
5.296129612961295585e+00,9.999999999935783590e-01
5.396039603960395503e+00,9.999999999933213424e-01
5.495949594959495421e+00,9.999999999930586636e-01
5.595859585958595339e+00,9.999999999927907668e-01
5.695769576957695257e+00,9.999999999925167637e-01
5.795679567956795175e+00,9.999999999922375427e-01
5.895589558955895093e+00,9.999999999919526594e-01
5.995499549954995011e+00,9.999999999916617810e-01
6.095409540954094929e+00,9.999999999913652404e-01
6.195319531953194847e+00,9.999999999910631487e-01
6.295229522952294765e+00,9.999999999907547288e-01
6.395139513951394683e+00,9.999999999904412018e-01
6.495049504950494601e+00,9.999999999901215686e-01
6.594959495949594519e+00,9.999999999897959402e-01
6.694869486948694437e+00,9.999999999894643166e-01
6.794779477947794355e+00,9.999999999891268088e-01
6.894689468946894273e+00,9.999999999887835278e-01
6.994599459945994191e+00,9.999999999884341406e-01
7.094509450945094109e+00,9.999999999880785362e-01
7.194419441944194027e+00,9.999999999877169365e-01
7.294329432943293945e+00,9.999999999873491197e-01
7.394239423942393863e+00,9.999999999869754186e-01
7.494149414941493781e+00,9.999999999865955003e-01
7.594059405940593699e+00,9.999999999862090316e-01
7.693969396939693617e+00,9.999999999858166788e-01
7.793879387938793535e+00,9.999999999854181087e-01
7.893789378937893453e+00,9.999999999850127663e-01
7.993699369936993371e+00,9.999999999846010956e-01
8.093609360936092401e+00,9.999999999841832077e-01
8.193519351935194095e+00,9.999999999837589915e-01
8.293429342934292237e+00,9.999999999833282249e-01
8.393339333933393931e+00,9.999999999828909081e-01
8.493249324932492073e+00,9.999999999824470409e-01
8.593159315931593767e+00,9.999999999819965124e-01
8.693069306930691909e+00,9.999999999815396556e-01
8.792979297929793603e+00,9.999999999810758045e-01
8.892889288928891744e+00,9.999999999806056250e-01
8.992799279927993439e+00,9.999999999801284511e-01
9.092709270927091580e+00,9.999999999796443939e-01
9.192619261926191498e+00,9.999999999791538974e-01
9.292529252925291416e+00,9.999999999786564064e-01
9.392439243924391334e+00,9.999999999781519211e-01
9.492349234923491252e+00,9.999999999776406634e-01
9.592259225922591170e+00,9.999999999771219672e-01
9.692169216921691088e+00,9.999999999765968317e-01
9.792079207920791006e+00,9.999999999760642577e-01
9.891989198919890924e+00,9.999999999755252444e-01
9.991899189918990842e+00,9.999999999749785706e-01
1.009180918091809076e+01,9.999999999744249024e-01
1.019171917191719068e+01,9.999999999738637957e-01
1.029162916291629060e+01,9.999999999732955835e-01
1.039153915391539051e+01,9.999999999727200439e-01
1.049144914491449043e+01,9.999999999721375099e-01
1.059135913591359035e+01,9.999999999715472043e-01
1.069126912691269027e+01,9.999999999709496823e-01
