# wavelength (nm), relative flux
8.393339333933393931e+00,9.999999999832407394e-01
8.493249324932492073e+00,9.999999999828032005e-01
8.593159315931593767e+00,9.999999999823590002e-01
8.693069306930691909e+00,9.999999999819079166e-01
8.792979297929793603e+00,9.999999999814506157e-01
8.892889288928891744e+00,9.999999999809863205e-01
8.992799279927993439e+00,9.999999999805153639e-01
9.092709270927091580e+00,9.999999999800371908e-01
9.192619261926191498e+00,9.999999999795529115e-01
9.292529252925291416e+00,9.999999999790613048e-01
9.392439243924391334e+00,9.999999999785623706e-01
9.492349234923491252e+00,9.999999999780569970e-01
9.592259225922591170e+00,9.999999999775442960e-01
9.692169216921691088e+00,9.999999999770247117e-01
9.792079207920791006e+00,9.999999999764975778e-01
9.891989198919890924e+00,9.999999999759637825e-01
9.991899189918990842e+00,9.999999999754227709e-01
1.009180918091809076e+01,9.999999999748744317e-01
1.019171917191719068e+01,9.999999999743182100e-01
1.029162916291629060e+01,9.999999999737549938e-01
1.039153915391539051e+01,9.999999999731846723e-01
1.049144914491449043e+01,9.999999999726065791e-01
1.059135913591359035e+01,9.999999999720209365e-01
1.069126912691269027e+01,9.999999999714279664e-01
1.079117911791179019e+01,9.999999999708271137e-01
1.089108910891089010e+01,9.999999999702188225e-01
1.099099909990999002e+01,9.999999999696025377e-01
1.109090909090908994e+01,9.999999999689791474e-01
1.119081908190818986e+01,9.999999999683476526e-01
1.129072907290728978e+01,9.999999999677080531e-01
1.139063906390638969e+01,9.999999999670609041e-01
1.149054905490548961e+01,9.999999999664054284e-01
1.159045904590458953e+01,9.999999999657421812e-01
1.169036903690368945e+01,9.999999999650704963e-01
1.179027902790278937e+01,9.999999999643909288e-01
1.189018901890188928e+01,9.999999999637033676e-01
1.199009900990098920e+01,9.999999999630073688e-01
1.209000900090008912e+01,9.999999999623029323e-01
1.218991899189918904e+01,9.999999999615902802e-01
1.228982898289828896e+01,9.999999999608694123e-01
1.238973897389738887e+01,9.999999999601401068e-01
1.248964896489648879e+01,9.999999999594023636e-01
1.258955895589558871e+01,9.999999999586555166e-01
1.268946894689468863e+01,9.999999999579005650e-01
1.278937893789378855e+01,9.999999999571365095e-01
1.288928892889288846e+01,9.999999999563636832e-01
1.298919891989198838e+01,9.999999999555824193e-01
1.308910891089108830e+01,9.999999999547922735e-01
1.318901890189018822e+01,9.999999999539931350e-01
1.328892889288928814e+01,9.999999999531851147e-01
1.338883888388838805e+01,9.999999999523676575e-01
1.348874887488748797e+01,9.999999999515412075e-01
1.358865886588658789e+01,9.999999999507054316e-01
1.368856885688568781e+01,9.999999999498606629e-01
1.378847884788478773e+01,9.999999999490066793e-01
1.388838883888388764e+01,9.999999999481432589e-01
1.398829882988298756e+01,9.999999999472700685e-01
1.408820882088208748e+01,9.999999999463875522e-01
1.418811881188118740e+01,9.999999999454955990e-01
1.428802880288028732e+01,9.999999999445936538e-01
1.438793879387938723e+01,9.999999999436821607e-01
1.448784878487848715e+01,9.999999999427611197e-01
1.458775877587758707e+01,9.999999999418298646e-01
1.468766876687668699e+01,9.999999999408887286e-01
1.478757875787578691e+01,9.999999999399377115e-01
1.488748874887488682e+01,9.999999999389765915e-01
1.498739873987398674e+01,9.999999999380051463e-01
1.508730873087308666e+01,9.999999999370237092e-01
1.518721872187218658e+01,9.999999999360315028e-01
1.528712871287128650e+01,9.999999999350294155e-01
1.538703870387038641e+01,9.999999999340170032e-01
1.548694869486948633e+01,9.999999999329933775e-01
1.558685868586858625e+01,9.999999999319595378e-01
1.568676867686768617e+01,9.999999999309149290e-01
1.578667866786678609e+01,9.999999999298595510e-01
1.588658865886588600e+01,9.999999999287932928e-01
1.598649864986498592e+01,9.999999999277161544e-01
1.608640864086408584e+01,9.999999999266278028e-01
1.618631863186318753e+01,9.999999999255284600e-01
1.628622862286228568e+01,9.999999999244177928e-01
