# wavelength (nm), relative flux
1.000000000000000000e+00,9.999999999997170042e-01
1.099909990999099918e+00,9.998999899986568130e-01
1.199819981998199836e+00,9.997999799975912927e-01
1.299729972997299754e+00,9.996999699965194441e-01
1.399639963996399672e+00,9.995999599954418224e-01
1.499549954995499590e+00,9.994999499943584276e-01
1.599459945994599508e+00,9.993999399932694816e-01
1.699369936993699426e+00,9.992999299921740963e-01
1.799279927992799344e+00,9.991999199910727159e-01
1.899189918991899262e+00,9.990999099899653402e-01
1.999099909990999180e+00,9.989998999888519693e-01
2.099009900990099098e+00,9.988998899877328252e-01
2.198919891989199016e+00,9.987998799866072419e-01
2.298829882988298934e+00,9.986998699854762185e-01
2.398739873987398852e+00,9.985998599843383117e-01
2.498649864986498770e+00,9.984998499831944097e-01
2.598559855985598688e+00,9.983998399820447345e-01
2.698469846984698606e+00,9.982998299808885090e-01
2.798379837983798524e+00,9.981998199797266214e-01
2.898289828982898442e+00,9.980998099785575173e-01
2.998199819981998360e+00,9.979997999773828621e-01
3.098109810981097834e+00,9.978997899762017676e-01
3.198019801980197752e+00,9.977997799750143448e-01
3.297929792979297670e+00,9.976997699738205938e-01
3.397839783978397588e+00,9.975997599726206255e-01
3.497749774977497506e+00,9.974997499714138849e-01
3.597659765976597424e+00,9.973997399702012601e-01
3.697569756975697342e+00,9.972997299689816408e-01
3.797479747974797260e+00,9.971997199677559154e-01
3.897389738973897177e+00,9.970997099665234176e-01
3.997299729972997095e+00,9.969996999652845915e-01
4.097209720972097458e+00,9.968996899640392151e-01
4.197119711971197376e+00,9.967996799627872884e-01
4.297029702970297294e+00,9.966996699615283672e-01
4.396939693969397212e+00,9.965996599602634509e-01
4.496849684968497129e+00,9.964996499589915402e-01
4.596759675967597047e+00,9.963996399577129681e-01
4.696669666966696965e+00,9.962996299564274016e-01
4.796579657965796883e+00,9.961996199551353959e-01
4.896489648964896801e+00,9.960996099538368398e-01
4.996399639963996719e+00,9.959995999525309562e-01
5.096309630963095749e+00,9.958995899512185224e-01
5.196219621962195667e+00,9.957995799498992051e-01
5.296129612961295585e+00,9.956995699485732265e-01
5.396039603960395503e+00,9.955995599472401425e-01
5.495949594959495421e+00,9.954995499458998420e-01
5.595859585958595339e+00,9.953995399445528802e-01
5.695769576957695257e+00,9.952995299431989240e-01
5.795679567956795175e+00,9.951995199418376403e-01
5.895589558955895093e+00,9.950995099404699173e-01
5.995499549954995011e+00,9.949994999390948669e-01
6.095409540954094929e+00,9.948994899377120449e-01
6.195319531953194847e+00,9.947994799363228946e-01
6.295229522952294765e+00,9.946994699349259728e-01
6.395139513951394683e+00,9.945994599335223896e-01
6.495049504950494601e+00,9.944994499321115899e-01
6.594959495949594519e+00,9.943994399306932408e-01
6.694869486948694437e+00,9.942994299292674532e-01
6.794779477947794355e+00,9.941994199278347821e-01
6.894689468946894273e+00,9.940994099263945616e-01
6.994599459945994191e+00,9.939993999249466805e-01
7.094509450945094109e+00,9.938993899234918050e-01
7.194419441944194027e+00,9.937993799220292690e-01
7.294329432943293945e+00,9.936993699205592945e-01
7.394239423942393863e+00,9.935993599190815484e-01
7.494149414941493781e+00,9.934993499175965859e-01
7.594059405940593699e+00,9.933993399161046289e-01
7.693969396939693617e+00,9.932993299146040123e-01
7.793879387938793535e+00,9.931993199130961791e-01
7.893789378937893453e+00,9.930993099115805745e-01
7.993699369936993371e+00,9.929992999100576423e-01
8.093609360936092401e+00,9.928992899085267165e-01
8.193519351935194095e+00,9.927992799069879082e-01
8.293429342934292237e+00,9.926992699054411062e-01
8.393339333933393931e+00,9.925992599038870878e-01
8.493249324932492073e+00,9.924992499023249648e-01
8.593159315931593767e+00,9.923992399007549592e-01
8.693069306930691909e+00,9.922992298991767379e-01
8.792979297929793603e+00,9.921992198975905231e-01
8.892889288928891744e+00,9.920992098959968697e-01
8.992799279927993439e+00,9.919991998943952227e-01
9.092709270927091580e+00,9.918991898927850270e-01
9.192619261926191498e+00,9.917991798911666157e-01
9.292529252925291416e+00,9.916991698895399887e-01
9.392439243924391334e+00,9.915991598879060342e-01
9.492349234923491252e+00,9.914991498862634201e-01
9.592259225922591170e+00,9.913991398846125902e-01
9.692169216921691088e+00,9.912991298829532116e-01
9.792079207920791006e+00,9.911991198812859505e-01
9.891989198919890924e+00,9.910991098796098075e-01
9.991899189918990842e+00,9.909990998779256710e-01
1.009180918091809076e+01,9.908990898762333188e-01
1.019171917191719068e+01,9.907990798745324179e-01
1.029162916291629060e+01,9.906990698728224132e-01
1.039153915391539051e+01,9.905990598711044148e-01
1.049144914491449043e+01,9.904990498693779788e-01
1.059135913591359035e+01,9.903990398676426610e-01
1.069126912691269027e+01,9.902990298658989055e-01
1.079117911791179019e+01,9.901990198641461571e-01
1.089108910891089010e+01,9.900990098623849711e-01
1.099099909990999002e+01,9.899989998606152364e-01
1.109090909090908994e+01,9.898989898588366199e-01
1.119081908190818986e+01,9.897989798570490105e-01
1.129072907290728978e+01,9.896989698552528525e-01
1.139063906390638969e+01,9.895989598534474796e-01
1.149054905490548961e+01,9.894989498516328918e-01
1.159045904590458953e+01,9.893989398498099774e-01
1.169036903690368945e+01,9.892989298479776261e-01
1.179027902790278937e+01,9.891989198461363930e-01
1.189018901890188928e+01,9.890989098442859451e-01
1.199009900990098920e+01,9.889988998424265043e-01
1.209000900090008912e+01,9.888988898405579597e-01
1.218991899189918904e+01,9.887988798386800893e-01
1.228982898289828896e+01,9.886988698367928929e-01
1.238973897389738887e+01,9.885988598348965928e-01
1.248964896489648879e+01,9.884988498329909667e-01
1.258955895589558871e+01,9.883988398310761259e-01
1.268946894689468863e+01,9.882988298291514040e-01
1.278937893789378855e+01,9.881988198272176893e-01
1.288928892889288846e+01,9.880988098252742047e-01
1.298919891989198838e+01,9.879987998233213942e-01
1.308910891089108830e+01,9.878987898213587027e-01
1.318901890189018822e+01,9.877987798193864633e-01
1.328892889288928814e+01,9.876987698174048980e-01
1.338883888388838805e+01,9.875987598154134517e-01
1.348874887488748797e+01,9.874987498134124575e-01
1.358865886588658789e+01,9.873987398114013603e-01
1.368856885688568781e+01,9.872987298093801600e-01
1.378847884788478773e+01,9.871987198073499670e-01
1.388838883888388764e+01,9.870987098053090048e-01
1.398829882988298756e+01,9.869986998032584946e-01
1.408820882088208748e+01,9.868986898011981035e-01
1.418811881188118740e+01,9.867986797991272763e-01
1.428802880288028732e+01,9.866986697970466791e-01
1.438793879387938723e+01,9.865986597949557568e-01
1.448784878487848715e+01,9.864986497928549536e-01
1.458775877587758707e+01,9.863986397907434922e-01
1.468766876687668699e+01,9.862986297886219278e-01
1.478757875787578691e+01,9.861986197864904824e-01
1.488748874887488682e+01,9.860986097843479348e-01
1.498739873987398674e+01,9.859985997821955062e-01
1.508730873087308666e+01,9.858985897800326414e-01
1.518721872187218658e+01,9.857985797778591186e-01
1.528712871287128650e+01,9.856985697756746045e-01
1.538703870387038641e+01,9.855985597734800985e-01
1.548694869486948633e+01,9.854985497712750453e-01
