# wavelength (nm), relative flux
8.892889288928891744e+00,9.999999999969400033e-01
8.992799279927993439e+00,9.999999999968641751e-01
9.092709270927091580e+00,9.999999999967867925e-01
9.192619261926191498e+00,9.999999999967082998e-01
9.292529252925291416e+00,9.999999999966288078e-01
9.392439243924391334e+00,9.999999999965478725e-01
9.492349234923491252e+00,9.999999999964657160e-01
9.592259225922591170e+00,9.999999999963823383e-01
9.692169216921691088e+00,9.999999999962975172e-01
9.792079207920791006e+00,9.999999999962114750e-01
9.891989198919890924e+00,9.999999999961243224e-01
9.991899189918990842e+00,9.999999999960355046e-01
1.009180918091809076e+01,9.999999999959453545e-01
1.019171917191719068e+01,9.999999999958539831e-01
1.029162916291629060e+01,9.999999999957609464e-01
1.039153915391539051e+01,9.999999999956664665e-01
1.049144914491449043e+01,9.999999999955704322e-01
1.059135913591359035e+01,9.999999999954729546e-01
1.069126912691269027e+01,9.999999999953738117e-01
1.079117911791179019e+01,9.999999999952730034e-01
1.089108910891089010e+01,9.999999999951704188e-01
1.099099909990999002e+01,9.999999999950660579e-01
1.109090909090908994e+01,9.999999999949600316e-01
1.119081908190818986e+01,9.999999999948521179e-01
1.129072907290728978e+01,9.999999999947420948e-01
1.139063906390638969e+01,9.999999999946301843e-01
1.149054905490548961e+01,9.999999999945160534e-01
1.159045904590458953e+01,9.999999999944000351e-01
1.169036903690368945e+01,9.999999999942817963e-01
1.179027902790278937e+01,9.999999999941610040e-01
1.189018901890188928e+01,9.999999999940375472e-01
1.199009900990098920e+01,9.999999999939114259e-01
1.209000900090008912e+01,9.999999999937826400e-01
1.218991899189918904e+01,9.999999999936510786e-01
1.228982898289828896e+01,9.999999999935161865e-01
1.238973897389738887e+01,9.999999999933778527e-01
1.248964896489648879e+01,9.999999999932362993e-01
1.258955895589558871e+01,9.999999999930905270e-01
1.268946894689468863e+01,9.999999999929409800e-01
1.278937893789378855e+01,9.999999999927867700e-01
1.288928892889288846e+01,9.999999999926278971e-01
1.298919891989198838e+01,9.999999999924635841e-01
1.308910891089108830e+01,9.999999999922939420e-01
1.318901890189018822e+01,9.999999999921178606e-01
1.328892889288928814e+01,9.999999999919351179e-01
1.338883888388838805e+01,9.999999999917447147e-01
1.348874887488748797e+01,9.999999999915456517e-01
1.358865886588658789e+01,9.999999999913374849e-01
1.368856885688568781e+01,9.999999999911186599e-01
1.378847884788478773e+01,9.999999999908879555e-01
1.388838883888388764e+01,9.999999999906437065e-01
1.398829882988298756e+01,9.999999999903840253e-01
1.408820882088208748e+01,9.999999999901065806e-01
1.418811881188118740e+01,9.999999999898089298e-01
1.428802880288028732e+01,9.999999999894874092e-01
1.438793879387938723e+01,9.999999999891385771e-01
1.448784878487848715e+01,9.999999999887564384e-01
1.458775877587758707e+01,9.999999999883355528e-01
1.468766876687668699e+01,9.999999999878677048e-01
1.478757875787578691e+01,9.999999999873433465e-01
1.488748874887488682e+01,9.999999999867499323e-01
1.498739873987398674e+01,9.999999999860704758e-01
1.508730873087308666e+01,9.999999999852833277e-01
1.518721872187218658e+01,9.999999999843594001e-01
1.528712871287128650e+01,9.999999999832586139e-01
1.538703870387038641e+01,9.999999999819261243e-01
1.548694869486948633e+01,9.999999999802827721e-01
1.558685868586858625e+01,9.999999999782125393e-01
1.568676867686768617e+01,9.999999999755408986e-01
1.578667866786678609e+01,9.999999999719945132e-01
1.588658865886588600e+01,9.999999999671250750e-01
1.598649864986498592e+01,9.999999999601578704e-01
1.608640864086408584e+01,9.999999999496567149e-01
1.618631863186318753e+01,9.999999999327194855e-01
1.628622862286228568e+01,9.999999999027301412e-01
1.638613861386138382e+01,9.999999998417936631e-01
1.648604860486048551e+01,9.999999996864635810e-01
1.658595859585958721e+01,9.999999990610486389e-01
1.668586858685868535e+01,9.999999854082989303e-01
1.678577857785778349e+01,9.999999958116089216e-01
1.688568856885688518e+01,9.999999993422593603e-01
1.698559855985598688e+01,9.999999997349126035e-01
1.708550855085508502e+01,9.999999998527560052e-01
1.718541854185418316e+01,9.999999999033315490e-01
1.728532853285328486e+01,9.999999999295827724e-01
1.738523852385238300e+01,9.999999999449230570e-01
1.748514851485148469e+01,9.999999999546419494e-01
1.758505850585058283e+01,9.999999999611687285e-01
1.768496849684968453e+01,9.999999999657467331e-01
1.778487848784878267e+01,9.999999999690679653e-01
1.788478847884788436e+01,9.999999999715402099e-01
1.798469846984698250e+01,9.999999999734188183e-01
1.808460846084608420e+01,9.999999999748688806e-01
1.818451845184518234e+01,9.999999999760019742e-01
1.828442844284428404e+01,9.999999999768949266e-01
1.838433843384338218e+01,9.999999999776028048e-01
1.848424842484248387e+01,9.999999999781653548e-01
1.858415841584158201e+01,9.999999999786124416e-01
1.868406840684068371e+01,9.999999999789660476e-01
1.878397839783978185e+01,9.999999999792429373e-01
1.888388838883888354e+01,9.999999999794568772e-01
