# wavelength (nm), relative flux
1.000000000000000000e+00,9.999999999998473443e-01
1.099909990999099918e+00,9.999999999998153699e-01
1.199819981998199836e+00,9.999999999997799538e-01
1.299729972997299754e+00,9.999999999997415401e-01
1.399639963996399672e+00,9.999999999996997957e-01
1.499549954995499590e+00,9.999999999996549427e-01
1.599459945994599508e+00,9.999999999996066480e-01
1.699369936993699426e+00,9.999999999995553557e-01
1.799279927992799344e+00,9.999999999995008437e-01
1.899189918991899262e+00,9.999999999994431121e-01
1.999099909990999180e+00,9.999999999993817168e-01
2.099009900990099098e+00,9.999999999993175459e-01
2.198919891989199016e+00,9.999999999992499333e-01
2.298829882988298934e+00,9.999999999991787680e-01
2.398739873987398852e+00,9.999999999991048272e-01
2.498649864986498770e+00,9.999999999990268895e-01
2.598559855985598688e+00,9.999999999989459543e-01
2.698469846984698606e+00,9.999999999988616883e-01
2.798379837983798524e+00,9.999999999987740917e-01
2.898289828982898442e+00,9.999999999986832755e-01
2.998199819981998360e+00,9.999999999985884624e-01
3.098109810981097834e+00,9.999999999984906518e-01
3.198019801980197752e+00,9.999999999983893995e-01
3.297929792979297670e+00,9.999999999982842613e-01
3.397839783978397588e+00,9.999999999981762366e-01
3.497749774977497506e+00,9.999999999980644372e-01
3.597659765976597424e+00,9.999999999979490850e-01
3.697569756975697342e+00,9.999999999978298471e-01
3.797479747974797260e+00,9.999999999977078335e-01
3.897389738973897177e+00,9.999999999975820453e-01
3.997299729972997095e+00,9.999999999974527043e-01
4.097209720972097458e+00,9.999999999973194775e-01
4.197119711971197376e+00,9.999999999971830311e-01
4.297029702970297294e+00,9.999999999970429210e-01
4.396939693969397212e+00,9.999999999968989250e-01
4.496849684968497129e+00,9.999999999967513764e-01
4.596759675967597047e+00,9.999999999966006081e-01
4.696669666966696965e+00,9.999999999964455100e-01
4.796579657965796883e+00,9.999999999962868591e-01
4.896489648964896801e+00,9.999999999961245445e-01
4.996399639963996719e+00,9.999999999959590102e-01
5.096309630963095749e+00,9.999999999957892571e-01
5.196219621962195667e+00,9.999999999956152852e-01
5.296129612961295585e+00,9.999999999954382046e-01
5.396039603960395503e+00,9.999999999952572383e-01
5.495949594959495421e+00,9.999999999950720531e-01
5.595859585958595339e+00,9.999999999948839813e-01
5.695769576957695257e+00,9.999999999946912466e-01
5.795679567956795175e+00,9.999999999944949591e-01
5.895589558955895093e+00,9.999999999942946749e-01
5.995499549954995011e+00,9.999999999940902828e-01
6.095409540954094929e+00,9.999999999938825601e-01
6.195319531953194847e+00,9.999999999936707296e-01
6.295229522952294765e+00,9.999999999934542361e-01
6.395139513951394683e+00,9.999999999932344119e-01
6.495049504950494601e+00,9.999999999930105909e-01
6.594959495949594519e+00,9.999999999927824401e-01
6.694869486948694437e+00,9.999999999925504035e-01
6.794779477947794355e+00,9.999999999923144811e-01
6.894689468946894273e+00,9.999999999920745619e-01
6.994599459945994191e+00,9.999999999918302018e-01
7.094509450945094109e+00,9.999999999915821780e-01
7.194419441944194027e+00,9.999999999913293802e-01
7.294329432943293945e+00,9.999999999910731407e-01
7.394239423942393863e+00,9.999999999908126824e-01
7.494149414941493781e+00,9.999999999905475612e-01
7.594059405940593699e+00,9.999999999902785541e-01
7.693969396939693617e+00,9.999999999900054393e-01
7.793879387938793535e+00,9.999999999897281056e-01
7.893789378937893453e+00,9.999999999894463310e-01
7.993699369936993371e+00,9.999999999891601155e-01
8.093609360936092401e+00,9.999999999888699032e-01
8.193519351935194095e+00,9.999999999885751389e-01
8.293429342934292237e+00,9.999999999882763779e-01
8.393339333933393931e+00,9.999999999879731760e-01
8.493249324932492073e+00,9.999999999876652002e-01
8.593159315931593767e+00,9.999999999873533385e-01
8.693069306930691909e+00,9.999999999870368139e-01
8.792979297929793603e+00,9.999999999867160705e-01
8.892889288928891744e+00,9.999999999863905531e-01
8.992799279927993439e+00,9.999999999860610389e-01
9.092709270927091580e+00,9.999999999857265287e-01
9.192619261926191498e+00,9.999999999853880217e-01
9.292529252925291416e+00,9.999999999850446297e-01
9.392439243924391334e+00,9.999999999846964638e-01
9.492349234923491252e+00,9.999999999843443010e-01
9.592259225922591170e+00,9.999999999839870313e-01
9.692169216921691088e+00,9.999999999836253206e-01
9.792079207920791006e+00,9.999999999832588360e-01
9.891989198919890924e+00,9.999999999828880215e-01
9.991899189918990842e+00,9.999999999825125441e-01
1.009180918091809076e+01,9.999999999821319596e-01
1.019171917191719068e+01,9.999999999817468233e-01
1.029162916291629060e+01,9.999999999813570239e-01
1.039153915391539051e+01,9.999999999809626727e-01
1.049144914491449043e+01,9.999999999805628814e-01
1.059135913591359035e+01,9.999999999801588713e-01
1.069126912691269027e+01,9.999999999797496431e-01
1.079117911791179019e+01,9.999999999793358629e-01
1.089108910891089010e+01,9.999999999789170868e-01
1.099099909990999002e+01,9.999999999784933147e-01
1.109090909090908994e+01,9.999999999780647686e-01
1.119081908190818986e+01,9.999999999776311155e-01
1.129072907290728978e+01,9.999999999771926884e-01
1.139063906390638969e+01,9.999999999767492653e-01
1.149054905490548961e+01,9.999999999763006242e-01
1.159045904590458953e+01,9.999999999758469871e-01
1.169036903690368945e+01,9.999999999753880209e-01
1.179027902790278937e+01,9.999999999749242807e-01
